current_time,total_messages,attack_messages,normal_messages,total_detections,attacks_detected,detection_rate,flooding_detected,spoofing_detected,injection_detected,exploitation_detected,misinformation_detected,resource_drain_detected,avg_confidence,avg_processing_time
30,5,3,2,20,0,0,0,0,0,0,0,0,0.845,60.809815
60,11,7,4,79,5,0.714285714285714,1,4,0,0,0,0,0.854556962025316,52.3716189873418
90,18,12,6,175,60,5,46,14,0,0,0,0,0.852445714285714,50.0519828571429
120,24,16,8,313,133,8.3125,105,28,0,0,0,0,0.809661341853036,50.1042415335463
150,30,20,10,490,227,11.35,180,45,0,2,0,0,0.787536734693878,49.6059855102041
180,37,25,12,705,351,14.04,286,58,0,7,0,0,0.778502127659574,49.3792137588652
210,41,28,13,956,503,17.9642857142857,408,76,0,19,0,0,0.772504184100418,49.3027374476987
240,47,32,15,1244,681,21.28125,556,88,0,37,0,0,0.768898713826366,49.2201603697749
270,54,37,17,1582,806,21.7837837837838,646,107,0,53,0,0,0.755603034134009,49.1437905183312
300,60,41,19,1964,962,23.4634146341463,765,120,0,77,0,0,0.750386965376786,49.0513322301425
330,66,45,21,2387,1171,26.0222222222222,933,138,0,100,0,0,0.747204859656477,48.9840302471722
360,72,50,22,2842,1401,28.02,1116,156,0,129,0,0,0.745023926812109,48.9370928923293
390,76,53,23,3318,1665,31.4150943396226,1324,174,0,167,0,0,0.742721518987345,48.8688039180229
420,82,57,25,3843,1858,32.5964912280702,1459,193,0,206,0,0,0.737347905282334,48.8433159510799
450,89,62,27,4410,2108,34,1644,216,0,248,0,0,0.73428344671202,48.8524540362812
480,95,66,29,5021,2257,34.1969696969697,1725,234,0,298,0,0,0.727904799840672,48.8655422027485
510,101,70,31,5651,2422,34.6,1815,256,0,351,0,0,0.723932932224389,50.1445933286144
540,107,75,32,6304,2658,35.44,1967,276,0,415,0,0,0.721484771573601,50.7859060437817
570,112,78,34,7008,2982,38.2307692307692,2204,303,0,475,0,0,0.719956621004557,51.1774045947488
600,117,82,35,7625,3183,38.8170731707317,2324,323,0,536,0,0,0.717483016393428,51.4952853770492
